VEHCAM    -1.7172099    2.105105    2.1162    -2.127295    0.0227    0.06    0.03194    2.2533074    2.038392164    -1.823476928    6.3001885    -1.2520049    1850.87    384    0.756291621    3.00684    734
XECJIZ    -0.4143996    1.13297643    1.1429    -1.15282357    0.0404    0.03    0.11784    1.5591743    1.272565093    -0.985955886    6.2606946    -1.2951615    965.293    100    0.80151531    3.26382    380
YITJAN    -1.5686669    2.13918536    2.1973    -2.25541464    0.037    0.04    0.08328    2.4810497    2.174591442    -1.868133184    6.8776343    -0.7690782    772.588    320    0.77615757    3.11148    304
YOFCUR    -1.2902237    1.38812179    1.4978    -1.60747821    0.404    0.22    0.01061    1.7471856    1.61283166    1.408958126    6.0602828    -1.6491679    1464.448    136    0.978500286    3.94023    596
YUNYAJ    -0.9990657    1.36478973    1.495884092    -1.626978454    0.24283    0.46263    0.02149    1.7549345    1.584852905    -1.41477131    6.24140173    -1.41069338    1048.594    100    0.926305923    3.693845823    849
ZZZNKU01    -1.8316156    2.1779926    2.255670436    -2.333348272    0.132    0.37    0.02176    2.3994684    2.242902931    -2.086337462    6.5127345    -1.2416835    979.675    104    0.821755878    3.3637    382
ZZZNTQ01    -1.8795592    2.06697342    2.147124194    -2.227274968    0.122    0.37    0.02101    2.2885412    2.156451628    -2.024362056    6.3606098    -1.4758091    1191.452    124    0.828282838    3.4565    458
ZZZOYC01    -1.9414561    2.26210679    2.5279    -2.79369321    0.582    0.32    0.08889    2.9456293    2.719650605    -2.49367191    7.0320011    -0.5210151    702.982    72    0.823498441    3.30816    278
QQQCIG04    -0.62    1.043    1.030399892    -1.017799784    0.49    0.24    0.10924    1.4816762    1.195072932    -0.908469664    6.0819631    -1.4224547    1340.852    140    0.797109371    3.20775    532
VUFHUA    -2.2893605    1.96921163    1.96959239    -1.96997315    0.378    0.67    0.09141    2.5161195    2.398091269    -2.280063038    6.6716823    -1.3500307    1365.005    268    0.9212178    3.69485    550
KAGGAC    -0.4    1.27233088    1.220682612    -1.169034344    0.02931    0.09873    0.01843    1.37972921    1.147622716    -0.915516222    5.949808314    -1.487587856    1400.195    152    0.719552634    3.157142349    538
KAGGIK    0.04    1.27248134    1.235217953    -1.197954566    0.08373    0.09114    0.02779    1.46209763    1.2347679    -1.00743817    6.075549155    -1.368408243    1095.668    124    0.750691043    3.283938066    414
OBOHUL    0.14    0.81512687    0.732473547    -0.649820224    0.15934    0.17413    0.02576    0.98101563    0.729432608    -0.477849586    5.531827127    -1.692844891    1689.587    94    0.720987963    3.095259784    322
TAYSUJ    -0.16332312    0.85173577    0.766197584    -0.680659398    0.04096    0.35172    0.01571    0.9206087    0.712184969    -0.503761238    5.394774323    -2.047670455    2678.059    272    0.765731478    3.312878649    1062
PUJQIV    -1.221587    1.707    1.757089865    -1.80717973    0.236    0.05    0.06923    1.9688393    1.900607505    -1.83237571    6.870055    -1.2059214    656.759    68    0.793546055    3.266    254
CENYEZ    -1.6225089    2.1869163    2.208390228    -2.229864156    0.127    0.05    0.1688    2.4094054    2.251727312    -2.094049224    6.4563786    -1.0075677    1323.778    264    0.83276801    3.088    528
ZZZDKE01    -0.0699199    0.32752965    0.456082146    -0.584634642    0.2903    0.35172    0.08917    0.83153806    0.590014768    -0.348491476    5.876561254    -1.806091905    792.027    84    0.835747548    3.181863471    328
UFAROL    -0.8351157    1.40374717    1.264569492    -1.125391814    N.A.    N.A.    N.A.    1.46896448    1.285446362    -1.101928244    5.320967956    -2.00125403    4648.68    532    0.726024798    3.068745297    1842
HPHBNZ02    -3.9978904    3.50523164    3.5687    -3.63216836    0.084    0.08    0.03119    3.7957977    3.658359219    -3.520920738    6.9409126    -0.2884389    1354.631    288    0.742545621    2.98131    534
PENCEN04    -0.20690028    0.64059244    0.721912677    -0.803232914    0.40936    0.46755    0.19507    1.1351061    0.86856174    -0.60201738    6.1524529    -1.5840201    703.945    72    0.850608403    3.457421171    278
PHNAPH01    -0.3948735    0.81928804    0.910730636    -1.002173232    0.38554    0.35386    0.10785    1.2035155    1.003467678    -0.803419856    6.5443458    -2.1086686    945.913    92    0.886021528    3.311105446    376
BIPHNE01    -1.1685356    2.33268931    2.3841    -2.43551069    0.144    0.09    0.08805    2.7211647    2.398494131    -2.075823562    7.3712963    -0.1486104    390.169    120    0.776653453    3.18011    152
