name,IP,EA,Et,gap
4121018/,6.837349053,-0.737243326,1.829243082,1.75933266
1505243/,6.963563437,-1.795289269,1.864304761,2.0590628
2217913/,8.528776734,-1.743857523,2.285369009,2.32204227
2224458/,7.068072602,-0.887410289,1.894033337,2.0582055
1518905/,6.600851429,-1.599749898,1.773723754,1.99042603
2214464/,6.699940721,-0.970170627,1.801764707,2.01535818
7203293/,7.939526321,-2.285503023,2.136447598,2.08724723
2107485/,8.419329307,-1.465701071,2.265607861,2.36100205
7221736/,5.665780951,-1.029203293,1.525396909,1.63986812
4329570/,6.717713924,-1.721078211,1.81009861,1.83695596
4022005/,6.69070385,-1.587927566,1.802974847,2.04089484
7151421/,6.741159366,-0.647652808,1.820952554,1.89109048
4027337/,6.595464466,-1.078869899,1.783630698,1.90129591
4063858/,6.743840904,-0.731696568,1.826567194,1.91634589
4028913/,6.830902701,-0.327945027,1.852448241,1.77419663
7215125/,7.243252901,-0.830068644,1.965001729,2.28558124
7109154/,6.662804732,-1.319614107,1.809501433,2.06615137
2013587/,6.649514692,-1.614373214,1.807197366,1.5758811
2019946/,7.428543392,-0.399771477,2.021515259,2.22778508
2101042/,7.519310037,-1.190548875,2.047653947,2.29358522
4116108/,6.677375168,-0.987049849,1.818457884,2.06796512
4513124/,7.043020822,-0.967237643,1.918723329,2.22821949
1540615/,8.586390252,-2.073571516,2.339731478,2.36615712
2239853/,7.79629663,-2.526513401,2.124779726,1.56067428
2202546/,7.910485216,-1.671104537,2.161668031,2.10951729
2201414/,7.764424885,-0.855973867,2.123922168,2.10885559
4503458/,6.281562576,-1.613907648,1.718524439,1.84395756
7215124/,7.24066489,-0.809126207,1.981652272,2.30219446
7202979/,8.287162245,-1.862190798,2.269582064,2.10895442
2100531/,8.317414211,-2.520380959,2.278023611,2.07786509
1514263/,7.629659398,-1.782557382,2.089681955,2.17262601
2103487/,7.896085329,-0.923534125,2.164385574,1.92143407
2010614/,8.409947859,-1.906332898,2.307121026,2.06798316
2205546/,8.096219426,-2.45208003,2.222832528,2.0694059
4064987/,6.194857234,-1.083822728,1.703921568,1.82628496
7014687/,6.713603579,-1.011702557,1.848514505,1.91118133
2005843/,7.212098247,-0.811754244,1.986860396,2.30640137
4513126/,6.987862003,-0.919396588,1.925251076,2.2414688
4078787/,7.724482088,-1.147216184,2.129724581,1.88760699
7223207/,7.855145351,-1.941541165,2.165860975,1.89605983
4501204/,7.251078034,-0.789798549,1.999595971,2.31947092
7153936/,8.188864178,-1.299334219,2.258500177,2.40690303
7204577/,8.280149616,-2.194600953,2.284396212,2.42506906
2200642/,7.454582485,-1.744242637,2.058856863,2.21402463
4026636/,7.346985205,-0.773496554,2.029498642,2.27558324
2012980/,7.412448427,-0.848305791,2.048380806,2.01489431
4120971/,7.339075404,-0.803845415,2.030782143,2.19541751
4031949/,7.223726401,-1.414887632,2.00011433,1.99509847
2227318/,7.078628566,-1.342270231,1.967185251,1.72782181
4504977/,7.32850232,-1.453613271,2.037013656,1.7394603
2217820/,6.980386139,-1.450704846,1.941806224,2.07249796
4335419/,6.912787173,-0.947204775,1.925311082,2.07110646
4029993/,8.195436587,-1.398910522,2.282585888,2.31529328
2213250/,8.097919549,-1.606965939,2.25937842,2.40297485
4072983/,6.856131635,-1.559222057,1.913021113,1.88923569
2213616/,7.885468109,-2.062108176,2.203238476,1.97683336
4028074/,6.950437946,-1.456191479,1.94471164,1.94306517
1512578/,7.324030785,-1.352063355,2.049377117,2.00722798
4026348/,6.300849844,-1.647080692,1.763161821,1.87140989
7218743/,5.676510845,-1.050437104,1.590118768,1.66109579
7212975/,6.50555043,-0.417864259,1.822964718,1.89443468
4024276/,8.083152053,-1.313361176,2.265520466,2.41647104
2200417/,8.926287333,-1.775484387,2.504773709,2.2240469
1502326/,7.548771237,-1.466698068,2.118372791,1.79827319
2215635/,7.73557435,-1.577614591,2.171318574,2.27261004
7226512/,6.575695635,-0.858231728,1.849262603,1.90027851
4028922/,6.879918421,-0.318290889,1.935446383,1.86037901
2011525/,6.928102046,-0.591428689,1.949962645,2.27220097
7200215/,8.27089615,-1.533189944,2.331099333,2.59219422
7150390/,7.587262857,-1.488449438,2.140012572,2.2283959
2200591/,8.008673778,-1.772258763,2.259143071,2.29223142
7100828/,6.296226339,-1.191805891,1.7777158,1.63293029
4505363/,6.775010893,-0.91561141,1.913847543,1.84366524
2014556/,6.773541281,-0.913237787,1.913757827,1.84353329
4111801/,6.847293497,-1.299769471,1.935010602,1.80870047
7107085/,7.297412579,-1.618958842,2.062305517,2.23157726
2104957/,7.403221727,-1.763513505,2.09240975,2.22710411
4503324/,6.565071145,-0.997991579,1.856904725,2.81342624
7155076/,6.384769896,-1.050559589,1.805936314,1.8422116
2235810/,7.021031664,-1.177527262,1.992348631,1.9662417
2222781/,8.483939631,-0.961995397,2.408617917,2.56669578
7117464/,6.558993222,-1.049056659,1.862210234,2.13678712
2010199/,7.624222294,-1.641035241,2.166445831,1.87459711
2200618/,7.97848571,-0.819564429,2.267348974,2.0237468
7150326/,7.375000107,-0.98878207,2.096487998,2.01729338
7104695/,6.902836364,-1.222177616,1.962302101,2.11138568
2203510/,6.695935144,-1.239431115,1.904379491,1.50003047
4084356/,6.557470451,-0.312896351,1.865267331,2.38556175
2223238/,6.987319939,-1.208947225,1.987898966,1.96631018
4513302/,7.092055023,-0.482005323,2.018840295,2.36233715
7153423/,8.020161743,-1.527752185,2.283429005,2.02940498
1506852/,6.396771394,-0.987969923,1.821490152,1.90326998
4064682/,5.853033101,-0.108164754,1.667042912,1.7747844
2220883/,7.53155356,-1.748361336,2.14866492,1.98920001
7153819/,7.53211892,-1.04806843,2.150167042,2.28327037
4312499/,8.056312313,-0.291828923,2.300764856,2.24594187
